"","X","patch","patch_tree","patch_total_veg","water_present","patch_size","patch_tree_scaled","patch_total_veg_scaled","patch_size_scaled"
"16",16,"p_16",0.357007555373787,0.843387433540694,1,0.185827262104675,0.308957041979295,0.224487857445279,-0.00405202613555855
"17",17,"p_17",0.315912835535126,0.91249334913059,1,0.505553430037473,0.137710125968758,0.552386821805842,0.240571301114173
"18",18,"p_18",0.929711184189965,0.985199795811355,1,0.28788251562389,2.69548578844245,0.897369857852108,0.07403071523215
"19",19,"p_19",0.168162954645884,0.796816201111169,0,0.635912330602948,-0.477982389822618,0.00351315864729273,0.340309236858131
"20",20,"p_20",0.798274952652193,0.917103587988586,1,8.80848099382782,2.14777432109926,0.574261831117096,6.59316289441412
"21",21,"p_21",0.117163348584147,0.824873253369605,1,0.032329921215497,-0.690504224503882,0.136640377931201,-0.121493243084023
"22",22,"p_22",0.179475397655616,0.914030130906176,1,0.511435951158173,-0.430842003282275,0.559678659969933,0.245072033407893
"23",23,"p_23",0.890630462910554,0.940321209080984,1,1.11833719655257,2.53263146017738,0.684426552127266,0.709413763458552
"24",24,"p_24",0.889568756817154,0.96182393785416,1,0.0375768752238401,2.52820719606466,0.786454322622233,-0.117478784850135
"25",25,"p_25",0.415575757575758,0.884606060606061,1,0.0164907811149359,0.553018177880591,0.420065110300231,-0.133611810598298
"26",26,"p_26",0.259606985100211,0.914845398206751,1,0.485404045114386,-0.0969235028328334,0.563547001793547,0.225154954013809
"27",27,"p_27",0.864663348232626,0.960142280627948,1,3.04023704092613,2.42442319586154,0.778475068484908,2.17986436064026
"28",28,"p_28",0.237973156386669,0.911878550243804,0,0.0198765381270852,-0.18707441426961,0.549469677643199,-0.131021359053696
"29",29,"p_29",0.771693866066404,0.880416432189083,1,0.0177535380032286,2.03700755787769,0.400185845156923,-0.132645672000638
"30",30,"p_30",0.932765603833716,0.982900089265439,1,2.04345222337404,2.70821394296566,0.88645803665269,1.41722168988814
"31",31,"p_31",0.00883733240376732,0.827477282654772,1,0.464722276073955,-1.14191248978534,0.148996172633901,0.209331278432948
"32",32,"p_32",0.339222614840989,0.354871277132761,0,0.00198071039416827,0.234844936345539,-2.09346047436128,-0.144713503654242
"33",33,"p_33",0.344827586206897,0.766622724854876,0,0.0432754989137135,0.258201563778637,-0.139751126477543,-0.113118752961679
"34",34,"p_34",0.225757096127467,0.601456157011713,0,0.0379113563957708,-0.237980288634987,-0.923445924245049,-0.117222872430739
"35",35,"p_35",0.261937502148579,0.7319433462821,0,0.0582172690643035,-0.0872119423498844,-0.304300459506622,-0.101686765542975
"36",36,"p_36",0.472641156674561,0.829864140595787,0,0.0080218403518307,0.790816942416442,0.160321516350916,-0.14009141932456
"37",37,"p_37",0.234005173002782,0.807818066468206,0,0.0205187178315818,-0.203609504907519,0.0557156398070131,-0.130530025682324
"38",38,"p_38",0.388365391248722,0.850940100720597,1,0.637814931875795,0.439629126067707,0.260324322750896,0.341764922067767
"39",39,"p_39",0.252683030496228,0.615928169163745,0,0.037639030794802,-0.125776500911034,-0.854778028648009,-0.11743122946024
"40",40,"p_40",0.699873497786211,0.870651486401012,0,0.018950561180863,1.73772296309251,0.353852393329917,-0.131729826436913
"41",41,"p_41",0.348486628010979,0.878648363939266,1,0.553437458927003,0.273449255622326,0.391796581472548,0.277207496846332
